UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,RACIAL COMPOSITION
P.156_N.37,JOHOR,P.156,KOTA TINGGI,N.37,JOHOR LAMA,BN - UMNO,,17178,7022,86.18,14804,34,254,14516,UMNO,ASIAH BINTI MD ARIFF,FEMALE,51.0,10769,,,,,,,,PAS,HJ. DIN,MALE,61.0,3747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (70-79%)
P.157_N.38,JOHOR,P.157,PENGERANG,N.38,PENAWAR,BN - UMNO,,19881,12818,88.94,17683,47,252,17384,UMNO,HAMIMAH BINTI MANSOR,FEMALE,50.0,15101,,,,,,,,PAS,ANIS AFIDA BT MOHD AZLI,FEMALE,25.0,2283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (90+%)
P.157_N.39,JOHOR,P.157,PENGERANG,N.39,TANJUNG SURAT,BN - UMNO,,18118,9035,84.91,15384,52,339,14993,UMNO,DATO’ SYED SIS BIN SYED A RAHMAN,MALE,60.0,12014,,PKR,KAPTEN HAJI HASNUL BIN AHMAD,MALE,,2979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (70-79%)
P.158_N.40,JOHOR,P.158,TEBRAU,N.40,TIRAM,BN - UMNO,,46658,7443,87.58,40861,37,835,39989,UMNO,DATUK MAULIZAN BIN BUJANG,MALE,50.0,23716,,,,,,,,PAS,KUMUTHA A/P RAHMAN,FEMALE,34.0,16273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.158_N.41,JOHOR,P.158,TEBRAU,N.41,PUTERI WANGSA,PR - PAS,,43824,3469,88.93,38974,47,709,38218,MIC,M. SOORIAN,MALE,,16888,,,,,,,,PAS,USTAZ ABDULLAH HUSIN,MALE,52.0,20357.0,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,RAVINDARAN A/L DORAISAMY,MALE,,973.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
P.159_N.42,JOHOR,P.159,PASIR GUDANG,N.42,JOHOR JAYA,PR - DAP,,51648,1460,88.32,45618,56,1087,44475,MCA,TAN CHER PUK,MALE,52.0,21419,,DAP,LIOW CAI TUNG,FEMALE,27.0,22879.0,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,ELWIN HONG,MALE,,177.0,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
P.159_N.43,JOHOR,P.159,PASIR GUDANG,N.43,PERMAS,BN - UMNO,,49393,5752,86.92,42932,51,729,42152,UMNO,MOHAMED KHALED BIN NORDIN,MALE,55.0,23952,,,,,,,,PAS,SYED OTHMAN BIN ABDULLAH (ARAB),MALE,43.0,18200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (50-59%)
P.160_N.44,JOHOR,P.160,JOHOR BAHRU,N.44,LARKIN,BN - UMNO,,51442,9097,83.53,42967,98,592,42277,UMNO,ADAM BIN SUMIRU,MALE,57.0,25687,,PKR,MOHD SALLEH BIN AHMAD,MALE,,16590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malay (60-69%)
P.160_N.45,JOHOR,P.160,JOHOR BAHRU,N.45,STULANG,PR - DAP,,44879,3296,82.44,36998,71,625,36302,MCA,CHONG CHEE SIONG,MALE,36.0,16503,,DAP,ANDREW CHEN KAH ENG,MALE,38.0,19799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chinese-majority (>50%)
P.161_N.46,JOHOR,P.161,PULAI,N.46,PERLING,PR - DAP,,61217,1970,85.13,52113,92,1063,50958,MCA,CHANG MEI KEE,FEMALE,46.0,24494,,DAP,CHEO YEE HOW,MALE,29.0,26464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed (no race >50%)
