UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),MUSLIM BUMIPUTERA (%),NON-MUSLIM BUMIPUTERA (%),ELECTORS - ORDINARY VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018),RACIAL COMPOSITION
P. 160_N. 45,JOHOR,P. 160,JOHOR BAHRU,N. 45,STULANG,45551,39.4,54.8,4.53,0.22,0.32,0.03,0.7,,,96.7,0.05,3.25,0.0,9.8,19.1,19.6,21.4,18.3,8.6,2.7,0.7,49.9,50.1,URBAN,Chinese-majority (>50%)
P. 161_N. 46,JOHOR,P. 161,PULAI,N. 46,PERLING,62895,43.87,43.44,11.0,0.33,0.37,0.28,0.71,,,97.21,0.04,2.75,0.0,14.7,23.6,23.8,18.0,12.2,5.3,1.7,0.7,51.0,49.0,URBAN,Mixed (no race >50%)
P. 161_N. 47,JOHOR,P. 161,PULAI,N. 47,KEMPAS,43373,56.59,33.05,9.22,0.24,0.36,0.0,0.53,,,99.85,0.03,0.12,0.0,15.2,22.6,21.9,20.6,13.0,5.2,1.3,0.2,48.9,51.1,URBAN,Malay (50-59%)
P. 162_N. 48,JOHOR,P. 162,ISKANDAR PUTERI,N. 48,SKUDAI,70928,22.59,64.32,12.23,0.19,0.35,0.01,0.31,,,99.03,0.02,0.95,0.0,14.1,22.0,22.5,22.1,13.5,4.5,1.0,0.2,49.7,50.3,URBAN,Chinese-majority (>50%)
P. 162_N. 49,JOHOR,P. 162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,67371,51.46,34.5,12.69,0.22,0.29,0.44,0.41,,,99.61,0.02,0.37,0.0,20.8,25.3,23.5,18.2,8.4,2.9,0.8,0.2,49.5,50.5,URBAN,Malay (50-59%)
P. 163_N. 50,JOHOR,P. 163,KULAI,N. 50,BUKIT PERMAI,24275,53.15,33.99,12.17,0.11,0.13,0.01,0.44,,,99.97,0.03,0.0,0.0,17.0,24.5,24.3,17.5,10.5,4.4,1.5,0.3,49.4,50.6,SEMI URBAN,Malay (50-59%)
P. 163_N. 51,JOHOR,P. 163,KULAI,N. 51,BUKIT BATU,30216,34.21,57.99,7.19,0.09,0.14,0.02,0.36,,,99.81,0.02,0.17,0.0,17.6,22.6,23.9,18.2,10.5,5.4,1.5,0.3,50.2,49.8,SEMI URBAN,Chinese-majority (>50%)
P. 163_N. 52,JOHOR,P. 163,KULAI,N. 52,SENAI,44656,25.57,62.27,11.27,0.33,0.24,0.01,0.3,,,98.44,0.02,1.41,0.13,13.7,20.3,23.0,20.6,13.6,6.5,1.9,0.4,50.2,49.8,URBAN,Chinese-majority (>50%)
P. 164_N. 53,JOHOR,P. 164,PONTIAN,N. 53,BENUT,20894,81.63,17.63,0.17,0.03,0.02,0.13,0.39,,,99.92,0.02,0.06,0.0,15.1,23.1,20.3,17.8,12.2,7.9,2.9,0.6,49.2,50.8,RURAL,Malay (80-89%)
P. 164_N. 54,JOHOR,P. 164,PONTIAN,N. 54,PULAI SEBATANG,34676,60.17,37.62,1.55,0.06,0.08,0.03,0.5,,,99.73,0.01,0.25,0.0,14.7,22.5,19.5,18.6,13.9,7.4,2.8,0.5,49.2,50.8,SEMI URBAN,Malay (60-69%)
P. 165_N. 55,JOHOR,P. 165,TANJUNG PIAI,N. 55,PEKAN NANAS,26608,53.36,45.11,1.02,0.06,0.09,0.01,0.35,,,99.89,0.02,0.09,0.0,16.5,22.4,22.1,17.8,11.8,6.7,2.3,0.4,50.1,49.9,SEMI URBAN,Malay (50-59%)
P. 165_N. 56,JOHOR,P. 165,TANJUNG PIAI,N. 56,KUKUP,26920,60.2,38.21,0.99,0.11,0.08,0.01,0.4,,,98.84,0.01,1.15,0.0,15.5,22.3,19.2,19.2,13.4,7.2,2.7,0.6,50.8,49.2,RURAL,Malay (60-69%)
