num,seat,key,winner22,winner22_bloc,runner_up22,margin22,majority22,valid22,electorate22,turnout22,bn22,ph22,pn22,muda22,malay,chinese,indian,urban_rural,report,rules,match,actual2026
N47,Kempas,KEMPAS,BN-UMNO,BN,PH,11.47353642211121,3514.0,30627.0,62011.0,50.4,38.91664217846998,27.44310575635877,26.238286479250334,0.0,57.13,30.84,10.36,URBAN,LIKELY_BN,LIKELY_BN,True,BN
N48,Skudai,SKUDAI,PH-DAP,PH,BN,30.961739169053804,13943.0,45033.0,102828.0,44.87,27.570892456642905,58.53263162569671,13.896475917660382,0.0,23.02,61.7,13.55,URBAN,SAFE_PH,SAFE_PH,True,PH
N49,Kota Iskandar,KOTAISKANDAR,BN-UMNO,BN,PH,7.687696159678386,4360.0,56714.0,116415.0,50.26,40.788870472899106,33.101174313220724,22.045703001022677,0.0,50.15,34.42,13.9,URBAN,LIKELY_BN,LIKELY_BN,True,BN
N50,Bukit Permai,BUKITPERMAI,BN-UMNO,BN,MUDA,21.118315864274294,4755.0,22516.0,39611.0,58.29,48.361165393497956,0.0,22.686089891632616,27.242849529223662,54.04,31.91,12.98,SEMI URBAN,SAFE_BN,SAFE_BN,True,BN
N51,Bukit Batu,BUKITBATU,PH-PKR,PH,BN,0.5689605050043607,137.0,24079.0,46237.0,53.68,38.63117239088002,39.20013289588438,16.56630258731675,0.0,37.22,53.73,8.14,SEMI URBAN,LEAN_BN_GAIN,LEAN_BN_GAIN,True,BN
N52,Senai,SENAI,PH-DAP,PH,BN,18.543108577871035,5921.0,31931.0,63717.0,51.13,33.20910713726472,51.75221571513576,15.038677147599511,0.0,29.11,56.94,12.38,URBAN,LIKELY_PH,LIKELY_PH,True,PH
N53,Benut,BENUT,BN-UMNO,BN,PN,33.9219546086151,5859.0,17272.0,28165.0,62.77,63.084761463640575,6.947660954145437,29.162806855025476,0.0,82.22,16.96,0.15,RURAL,SAFE_BN,SAFE_BN,True,BN
N54,Pulai Sebatang,PULAISEBATANG,BN-UMNO,BN,PH,25.38427579564153,6325.0,24917.0,46991.0,54.51,50.05819320142874,24.673917405787215,23.94750571898704,0.0,62.9,34.8,1.42,SEMI URBAN,SAFE_BN,SAFE_BN,True,BN
N55,Pekan Nanas,PEKANNANAS,BN-MCA,BN,PH,22.601907255048616,4835.0,21392.0,35865.0,60.88,51.53328347045625,28.931376215407628,12.81320119670905,0.0,55.78,42.42,1.05,SEMI URBAN,LIKELY_BN,LIKELY_BN,True,BN
N56,Kukup,KUKUP,BN-UMNO,BN,PN,42.53189503163572,8201.0,19282.0,34624.0,57.24,60.36718182761124,16.989938803028732,17.83528679597552,0.0,60.55,37.75,0.9,RURAL,SAFE_BN,SAFE_BN,True,BN
